cleaned_type,capacity_MW,address,year,company,owner
wind,18.4,경북  안동시  길안면  백자리 산97번지  일원,2015,대명지이씨,서기섭
others,483.6,경기  평택시  고덕면  해창4길  64-15  일원,2015,한국지역난방공사,김성회
others,8.0,충북  청주시  흥덕구  옥산면 호죽리  907외908,2015,엔이티,김태진
others,6.0,제주  제주시  월산남길  312(해안동),2015,웰크론강원,이영규
others,9.9,강원  횡성군  횡성읍  조곡리 3-2번지  일원,2015,에너지관리사업단,임진국
others,8.0,경북  영천시  고경면  상계로 178-18,2015,지웰,김영길
others,9.9,경기  화성시  송산면  마산리 416-15번지,2015,해다미,이남진
wind,33.0,강원  태백시  창죽동  9-167외  8필지  화전동  143-26외 1필지,2015,대관령풍력,정해주
wind,20.0,전남  신안군  압해면  가룡리 일원(해상  포함),2015,압 해 풍 력 에 너지,이종희
others,230.0,전남  여수시  여수산단로  남해화학  부지  내,2015,남해화학,강성국
wind,40.0,강원  정선군  고한읍  고한리 산216-1  등지,2015,정암풍력발전,이용운
others,25.0,충북  천안시  서북구  차암동 14-4  일원,2015,천안삼영그린에너지,금동흠
bioenergy,200.0,전북  군산시  비응도동  36,2015,중부바이오에너지 ,나병제 
others,10.0,경기  양주시  옥정동  840-1,2015,대륜그린에너지,손수길
wind,20.0,전남  장흥군  부산면  지천리 산22,2015,한국서부발전,조인국
wind,30.0,전남  해남군  송지면  통호리 산  98  등  일원,2015,대우건설,박영식
wind,7.5,경북  포항시  남구  오천읍 진전리  산88-1번지,2015,동국에스앤씨,양승주
others,15.0,전남  목포시  대양동  797번지,2015,더블류티이목포,서준열
others,100.0,대구시  동구  율암동  산5번지  일원,2015,대구그린연료전지,신봉균
others,4.3,광주시  서구  매월1로  50-4,2015,명성환경,원남희
wind,20.0,"경북  포항시  남구  장기면 두원리  산162임,  산162-1임, 산162-2임,  계원리  산87  일원",2015,한국동서발전 ,장주옥 
wind,39.0,강원  철원군  근남면  육단리 산88-1번지  일원,2015,한일풍력발전,김재종
others,17.5,경북  김천시  대광동  797번지  일대,2015,엔케이퓨얼,
wind,18.0,"전남  무안군  운남면  내리 산39번지,  714-5,  711-29, 산50,  산41-1,  산107-8",2015,하사미풍력,
wind,20.7,"경남  양산시  원동면  대리 산90-1,  산16-1,  선리  산1-1번지  일원",2015,한국동서발전,
wind,14.8,"경북  군위군  고로면  화북리 산229-1,  1254-4,5,6,  영천시 신녕면  화남리  산64/가천리   산18-1,산23",2015,현대중공업,
solar,33.0,제주시  한림읍  금악리  산23번지  일원,2015,디에스파워,
wind,60.0,경북  청송군  현서면  무계리 산11번지  일원,2015,청송면봉산풍력,
others,9.9,여주시  강천면  강천로  121(적금리  46)  일원,2015,대한환경,이성창
others,20.0,충남  서천군  장항읍  장항공단길  28번길  60,2015,장항에코파워,김길훈
others,10.0,충북  청주시  흥덕구  화계동 29-15(LG화학  청주공장內),2015,서브원,이규홍
others,17.5,부산시  강서구  국제물류도시  일반산업단지  1단계  제2공구  122-7Lot,2015,부산강서산업단지,손호영
others,12.5,광주시  서구  치평동  764-2번지  외  6필지,2015,빛고을연료전지,송용욱
wind,15.0,강원  고성군  토성면  도원리 산1  외  6필지,2015,에스디오,김영건
wind,40.0,"경북  영천시  화북면  정각리 산6-1,  산218-3,  포항시  죽장면  두마리  산84,  85,  98, 99  일원",2015,한국동서발전,장주옥
wind,66.0,경북  포항시  남구  구룡포읍 석병리  산62번지  외  12필지,2015,효성,이상운
wind,80.5,"전남  영광군  백수읍  하사리,약수리,  염산면  축동리,신성리,송암리  일원",2015,영광풍력발전,
wind,38.4,경북  포항시  남구  호미곶면 강사리  산199-1일원,2015,동해그린풍력,김양곤
wind,20.0,"강원도  양양군  현남면  하월천리  산1-1번지,  상월천리 산1-1번지,  현북면  어성전리 산2번지  일원",2015,한국동서발전 ,장주옥 
bioenergy,10.0,충남  아산시  인주면  금성리 산  45,2015,삼환이엔씨,최익환
others,110.4,전남  광양시  광양읍  세풍리 2200,2015,율촌청정에너지,장태범
hydro,5.0,충북  충주시  금가면  월상리 일원,2015,한국수자원공사,최계운
others,40.0,경기도  평택시  포승읍  평택항로156번길  43,2015,중부그린에너지,이상득
bioenergy,100.0,"전남  광양시  황금동  산  191, 황금일반산업단지  內",2015,광양그린에너지,황정현
others,37.5,경기도  평택시  포승읍  원정 리  1173-7,2015,포승퓨얼셀 ,오범준 
wind,98.8,전북  군산시  새만금  4호방조제  내측  일부,2015,새만금해상풍력,"손충렬, 김희규"
wind,66.0,"경북  군위군  고로면  석산리 산19번지  일원,  의성군  춘산면  신흥리  산70번지  일원",2015,에스케이디앤디,함스테판윤성
bioenergy,9.9,광주시  광산구  신창동  10-8,2015,EIG,안성식
gas,12.8,광주시  광산구  수완로  130(수완동  1149번지),2015,EIG,안성식
bioenergy,9.9,경남  함안군  군북면  장지리 1407,2015,비에이치아이,우종인
gas,5.0,충북  음성군  대소면  대풍리 259-2번지  (CJ헬스케어  대소공장  내),2015,폐트로코너지,오수현
gas,25.0,대구시  서구  이현동  산  117 번지  일원,2015,이현에프씨피피,손승우
others,9.0,경북  문경시  신기공단2길 37  일원,2015,대보건설 ,남관우 
wind,12.8,경남  양산시  원동면  대리 산90-2번지  일원,2015,염수봉풍력발전,
wind,19.8,"경남  양산시  동면  법기리 산1-1,  산1-3,  산14-1,  호계동  산69-1  번지  일원",2015,한국동서발전,장주옥
wind,8.0,"경북  경주시  산내면  내일리 763-1,산421-3번지",2015,대주에너지,최향예
wind,80.0,경북  영양군  청기면  구매리 일원,2015,에스케이디앤디,함스테판윤성
others,9.9,충북  음성군  맹동면  봉현리 22-6외  2필지,2016,정욱리싸이클링,오봉호
coal,29.3,충북  단양군  매포읍  우덕리 360번지,2016,단양에너지,변상현
gas,40.0,대구시  달성군  논공읍  본리리 29-55번지  및  1023번지,2016,달성에너지,오성준
bioenergy,9.9,경남  고성군  삼산면  병산리 532-1외  5필지,2016,부산씨에이치엔지니어링,조창현
wind,30.0,강원도  삼척시  도계읍  황조리 산159임  일원,2016,한국남부발전,윤종근
wind,27.0,강원도  삼척시  하장면  어리 산66번지  일원,2016,어진풍력발전,김재종
wind,165.0,"강원도  태백시  소도동  산78, 화전동  산47-61,  황지동    산176-1,14,16,  창죽동  산1-1,  혈동  산57",2016,오투파워,박주원
wind,24.8,전북  고창군  상하면  용정리 1626번지외  27필지,2016,동촌풍력발전,박식
wind,87.0,강원도  평창군  봉평면  유포리 산200번지,2016,청정그린파워,홍종후
others,9.9,바이오 인천시 서구 오류동 1537번지,2016,유진 에너지,정태영 
coal,5.4,경기도  화성시  남양읍  매바위로  570-10,2016,신승에너지,김웅
coal,3.2,경기도  양주시  은현면  은남로 160,2016,양주시청,경 기 도 양 주 시장 ( 지 방자 치 단체장)
others,9.9,충남  서산시  대산읍  죽엽로 397일원(대죽리),2016,대산파워,모종면
wind,30.0,"경북  포항시  북구  죽장면  상옥리  산20,  산15-1,  산15-2, 기북면  성법리  산1,  산2,  신광면  마북리   산2-1,  산12번지 일원",2016,한국동서발전,김용진
wind,27.6,강원도  평창군  용평면  노동리 산1-2,2016,하누리파워,정주호
wind,51.0,전남  고흥군  동강면  대강리 1219-1번지  일원,2016,도경풍력발전 ,김재종 
wind,92.4,경북  영덕군  남정면  중화리 산71-1번지  일원,2016,지에스이앤알,손영기
wind,72.0,"경북  포항시  북구  죽장면  가사리  산2-1,석계리  산1-1",2016,에스케이디앤디,함 스 테판윤성
bioenergy,40.0,전남  여수시  중흥동  1724번지(여수국가산업단지內),2016,여수바이오에너지,한문선
wind,12.0,전남  여수시  화정면  백야리 산253번지  일원,2016,에스알피,김영건
wind,12.0,경북  영천시  자양면  용산리 산31번지  일원,2016,와이씨풍력,김영건
wind,85.8,"강원도  평창군  용평면  도사리 산1번지,속사리  산270번지,  덕거리  산1번지",2016,태환윈드파워,이기경
wind,285.0,"강원도  삼척시  하장면  중봉리 산1,  도계읍  무건리  산58,  도계읍  황조리  산159,  도계읍 신리  산138,    삼척시  노곡면 주지리  산9,  노곡면  상마읍리 산104,  삼척시  원덕읍  이천리 산322,  삼척시  가곡면  오목리 산21번지",2016,에너지메카,김성훈
gas,40.0,광주시  서구  치평동  762-2번지  일원,2016,한양산업개발 ,이왕섭 
others,50.0,충남  서산시  대산읍  독곶2로 103(한화토탈  대산공장  內),2016,한국동서발전,김용진
others,6.5,충북  청주시  청원군  북이면 신대석성로  253-4,2016,진주산업,김성훈
wind,39.0,경북  영천시  화북면  정각리 산150-1번지  일원,2016,영천풍력,박성호
wind,18.0,"강원  태백시  하사미동  산219-2,  산485-6,  산485-7,  산485-9",2016,하사미,최근화
wind,3.4,"강원  평창군  용평면  노동리 산1-5,  산1-30도",2016,대관령풍력,정해주
wind,40.0,"강원도  정선군  화암면  화암리 산58,  산111,  산101,  산115, 산116,  산145,  산146,  산150,   산152,  산169,  산170,  산171, 건천리  산265,  임계면  덕암리 산50-4",2016,한국동서발전 ,김용진 
wind,99.0,"강원도  평창군  대화면  개수리 산340,  산337,  산618,  상암미리  산331,  방림면  방림리  산442,  계촌리    산1",2016,대화풍력,김화준
wind,99.2,경북  울진군  매화면  길곡리 산1번지,2016,부선,신상일
solar,4.1,경북  포항시  북구  신광면  호리  87번지외  23필지,2016,용연수상태양광발전,김범헌
gas,6.0,경기 시흥시 서울대학로 59-5(정왕동),2016,페트로코너지,오수현
others,9.9,경기  포천시  신북면  신창길 36(신평리  206-3)  외,2016,브이엘스팀앤파워,김성훈
others,9.9,전북  전주시  덕진구  팔복동3가  478-1,2016,하늘과에너지,채태평
others,4.4,경기  용인시  남사면  천덕산로 428길  22,2016,삼영이앤이,기준호
wind,93.2,경북  영덕군  달산면  매일리 산131번지  일원,2016,일출에너지,이정섭
wind,56.1,경북  영양군  석보면  포산리 일원,2016,지에스이앤알,손영기
wind,40.0,강원  강릉시  강동면  임곡리 산21  일원,2016,동성,"김 장 수 , 김흥식"
wind,39.0,강원  정선군  고한읍  고한리 산  1-17번지  일원,2016,웅진풍력발전,김국희
wind,99.1,전남  영광군  염산면  두우리 1128-3번지  등  및  공유수면 일원,2016,재원에너지,정재원
wind,3.3,강원도  평창군  횡계리  산 1-174,2016,강원도청,강원도청
wind,12.0,전남  여수시  화정면  조발리 산38-3번지  일원,2016,에스비오,이희승
wind,33.0,전남  신안군  증도면  우전리 일원,2016,윈윈드파워,허지영
others,9.8,강원  춘천시  남산면  수동리 648-2  일원,2016,춘천에코에너지,이운옥
wind,40.0,"강원  태백시  원동  산97,  산13-1일원",2016,태백  가덕산풍력  발전사업,한국동서발전
others,6.0,충남  청양군  화성면  금계동길 31,2016,디에스에너지,이기완
others,5.0,경기  양주시  남면  현석로785번길  207,2016,와이에스에너지,김정영
others,24.9,충남  서산시  대산읍  죽엽로 397일원(대죽리),2016,대산파워,모종면
others,9.0,"충북  청주시  서원구  남이면 부용남이길182,  (구미리   39-2,  39-4)",2016,청주  폐수지 유류화  엔진 발전사업,이병삼
bioenergy,3.6,인천시  중구  월미로  96  (북성동  1가),2016,선창산업,김영환
others,5.5,전북  정읍시  2산단7길21-1(하북동),2016,예원산업,이한림
wind,97.2,"경북  청송군  안덕면  근곡리, 노래리,  부남면  감연리,  대전리,  현동면  도평리,  인지리,  파천면  신흥리,  부동면    지리  일원",2016,청송에코윈드,김리하
wind,60.0,강원  정선군  사북읍  사북리 산160-3번지  일원,2016,웅진풍력발전,김국희
wind,79.2,"강원  영월군  상동읍  구래리 산1-35번지,  산1-37번지  일원",2016,영월에코윈드,조우진
wind,3.3,강원  삼척시  하장면  판문리 산42,2016,주원에너지,이영복
wind,13.0,"경북  영덕군  영해면  대진리 산55,  산57,  산59,  산35",2016,윈이엔에스,공진표
wind,138.6,강원  삼척시  근덕면  궁촌리 산310임  일원,2016,삼척풍력발전,김흥식
solar,20.0,제주시  구좌읍  덕천리  산82,2016,제주사랑에너지,위대호
solar,20.0,제주시  구좌읍  덕천리  산82,2016,제주사랑에너지,위대호
solar,20.0,제주시  구좌읍  덕천리  산82,2016,제주사랑에너지,위대호
solar,4.0,광주시  북구  운정동  627번지외  5필지,2016,빛고을운정태양광발전소,"양홍석,우혁재"
solar,4.0,광주시  북구  운정동  627번지외  5필지,2016,빛고을운정태양광발전소,"양홍석,우혁재"
wind,168.3,"강원  평창군  진부면  마평리 산200,  화의리  산100,  막동리 산1,  장전리  산1,  대화면  신리 산410,    대화리  산70,  하안미리  산153,  평창읍  지동리  산1, 고길리  산1,  미탄면  회동리  산50-1  번지",2016,태환윈드파워평창,이기경
wind,69.3,"강원  평창군  봉평면  흥정리 산1,  덕거리  산1",2016,태환윈드파워평창,이기경
wind,60.0,"강원  양양군  서면  영덕리  산81-1,  공수전리  산2-7,  서림리 산1-5,  북암리  산1",2016,지에스이피에스,손영기
wind,20.7,"강원  고성군  간성읍  탑동리 산1,  장신리  산  1-2,  어천리 산1-1",2016,유니슨,류지윤
wind,32.2,"강원  인제군  서화면  서흥리 산55,  북면  원통리  산226-1, 월학리  산1",2016,유니슨,류지윤
wind,90.0,"강원  양양군  서면  수리  산1, 내현리  산112-1현북면  장리 산1-11,  면옥치리  산1-1",2016,에코그린풍력 ,남병현 
wind,60.0,"경북  영덕군  남정면  회리 104-1번지,  쟁암리    산37번지, 사암리  산62-2번지,  달산면  옥산리  산109번지",2016,오성이앤티,이병구
wind,60.0,"강원  강릉시  강동면  임곡리 및  언별리,  옥계면  북동리,  왕산면  목계리  일원  일원",2016,한국남부발전,윤종근
wind,99.0,"강원  정선군  화암면  건천리, 호촌리,  백전리,  삼척시  하장면  토산리,  갈전리,  추동리,  둔전리,  역둔리,  공전리    일원",2016,한국동서발전,김용진
wind,60.0,"강원  강릉시  강동면  임곡리 및  언별리,  옥계면  북동리,   왕산면  목계리  일원",2016,한국남부발전,이상호
bioenergy,6.5,충북  충주시  목행동  315-2번지,2016,베올리아코리아에너지 ,가보렐마르셀루시앙프랑소 와
others,20.0,서울시  강동구  아리수로87길 206  (고덕동),2016,에스케이이엔에스,유정준
wind,99.0,"강원  삼척시  하장면  중봉리 산1,  갈전리  산1,  정선군  임계 면  용산리  산160-1,  도전리  산64,  문래리    산1,  낙천리  산50번지  일원",2016,한국동서발전 ,김용진 
bioenergy,8.8,대구시 서구 중리동 1123-1,2016,대연이앤에스,정현종
gas,9.7,경기  평택시  오성면  양교리 1091번지,2016,유진초저온,양원돈
others,9.9,전북  전주시  덕진구  유상로 54  일원,2016,전주에코에너지,백한신
others,29.0,"전남  광양만권  경제자유구역 율촌제1산압단지 2블록(2-2, 2-6)",2016,한국에너지,남덕진
wind,6.6,강원  평창군  대관령면  횡계리 산2-1,2016,진고개윈드캠퍼스,황의정
wind,39.6,전남  영암군  미암면  호포리 1246번지  외  11필지,2016,영암삼호풍력발전,김양수
wind,99.0,"경북  청송군  부남면  중기리 산86-1,  산127,  산135,  산137, 부남면  양숙리  산23",2016,우람발전,하태국
wind,39.0,강원  양양군  서면  미천리  산5번지  일원,2016,봉이,손승우
wind,60.0,강원  삼척시  도계읍  한내리 산55번지,2016,진성파워,남기준
wind,39.0,"강원  정선군  남면  유평리  산208,  화암면  몰운리  산210",2016,명성파워그린,박정학
wind,7.0,"강원  횡성군  갑천면  포동리 산  78-2,  산  82-1번지  일원",2016,한국동서발전,김용진
wind,9.5,경기  가평군  조종면  마일리 산  237-1  일원,2016,자은태양광발전소,하영복
wind,5.0,강원  고성군  토성면  원암리 427-1,2016,영동연료전지발전,정태연
wind,5.0,강원  정선군  임계면  가목리 산8-1,2016,영동연료전지발전,정태연
coal,221.9,전북  군산시  외항로  1222,2016,한화에너지,류두형
bioenergy,200.0,전북  군산시  비응도동36-23 군산2국가산업단지  내,2016,에스엠지에너지,박준영
bioenergy,105.0,충남  당진시  송악읍  부곡공단로  241,2016,지에스이피에스,손영기
bioenergy,110.0,경북  포항시  북구  흥해읍  용한리(영일만3일반산업단지),2016,포항신재생에너지 ,이길구 
gas,110.0,전남  광양시  광양읍  세풍리 2200,2016,광양파워,유상훈
wind,4.6,강원도  삼척시  하장면  한소리 산60,2016,하장풍력발전,최재영
wind,39.0,강원도  영월군  중동면  직동리 산1-1,2016,명성파워그린,박정학
wind,29.7,"전남  신안군  장산면  마진도리 102, 112, 산47, 팽진리 118-6, 193, 263, 434-1,   436-3,  산21-1",2016,지에스이피에스,손영기
wind,96.6,경북  포항시  북구  신광면  기일리  산150-1외  9필지,2016,포항에코랜드,황의정
wind,90.0,경북  포항시  북구  기북면  탑정리  산33  외  17필지,2016,비학윈드캠퍼스,이재규
wind,60.0,"경북  포항시  남구  대송면  산여리  산8,  산33-1",2016,더윈드파워,기경희
wind,39.0,"강원도  정선군  북평면  장열리 산139,  산165-3,  남평리  산22, 문곡리  산1,  여량면  여량리  산85-5",2016,명성파워그린,박정학
wind,27.0,"충북  영동군  상촌면  둔전리 산10번지,  물한리  산62-1",2016,영동  상촌풍력  발전사업,김기영
wind,4.2,경북  포항시  남구  동해면  발산리  산92-1임,2016,코리아풍력,이정수
wind,9.2,"전남  여수시  화양면  안포리 산67,  산117,산56-17,  산56-1",2016,에스더블유에너지,박선식
others,4.3,경기도  이천시  호법면  안평3리  산98번지,2016,이천시,이천시장
others,4.8,충남  천안시  동남구  청수8로 56,2016,청수유니스에너지,이상구
bioenergy,20.0,전북  정읍시  영파동  500-13번지,2016,엠에코,이근숙
bioenergy,100.0,경기도  김포시  양촌읍  학운리 3379(학운2일반산업단지),2016,한국지역난방기술,이병욱
bioenergy,29.9,경북  경주시  외동읍  모화리 1700-1번지,2016,엠에스정밀,이병준
others,7.0,충북  청주시  청원구  북이면 용계내추로  463-4,2016,청주원에너지,황인경
others,9.9,충남  부여군  홍산면  정동리 산59-1외  2필지,2016,흥원에너지,이동구
wind,19.2,"강원  강릉시  옥계면  금진리 산81번지,  강동면  산성우리  산56번지",2016,윈드앤썬,김기영
wind,19.8,"강원  정선군  신동읍  방제리 443-21,22,24,68,70,35,64  조동리  499-9",2016,정선풍력발전,황영윤
wind,33.0,충남  보령시  신흑동  2122-2번지  일원,2016,보령풍력발전,황영윤
bioenergy,9.9,충북 진천군 광혜원면 광혜원리 773-20번지 일원,2017,코오롱글로벌 ,윤창운 
gas,60.0,대구시  달성군  유가면  비슬로96길  67(금리40번지),2017,대구청 정에너지,백승정
bioenergy,9.9,충남  청양군  정산면  서정리  산11-3,2017,임폴루토,이윤상
wind,50.4,강원  삼척시  원덕읍  기곡리  산170번지,2017,비에스에너지,신상일
wind,20.0,강원도  강릉시  왕산면  대기리 2214-195  외  3필지,2017,후츠파개발,이상호
wind,9.9,경남  통영시  욕지면  동항리  산6-1번지  앞  공유수면,2017,영동발전,정태연
others,9.9,경기도  파주시  탄현면  금승리 229-7  외,2017,한빛파워,조석연
nuclear,2800.0,경북  울진군  북면  덕천리  및 고목리  일원,2017,한수원,한수원대표
wind,90.0,강원도  양구군  해안면  오유리 산1임  일원,2017,글로벌윈드에 너지,최용선 
others,8.2,경기도  이천시  호법면  안평3리 산98번지,2017,경기도청,이천시장
bioenergy,20.0,경남  함안군  군북면  장지리 1407,2017,비에이치아이,우종인
others,9.9,경기도  여주시  강천면  강천로 121  일원,2017,엠다온,김종호
wind,26.4,강원도  삼척시  하장면  번천리 산57-2,2017,한마음에너지,이경남
solar,17.0,전북  군산시  비응도동  유19번지,2017,피앤디솔라,박식
solar,5.0,경기  화성시  서신면  궁평리 699,2017,한국농 어촌공사 ( 화 안 사 업단),정승
wind,57.6,"강원도  삼척시  하장면  추동리, 둔전리,  용연리  일대",2017,삼척  오두2풍력  발전사업,최용선
wind,50.4,강원도  삼척시  가곡면  풍곡리 산128-63,2017,한국남부발전,윤종근
wind,39.6,"경북  영덕군  영덕읍  삼계리  산23-2,  산38,  산25,    산40-1,  강구면  하저리  산101,  산102,  산103,  영덕읍  창포리  산114-1, 117-2  일원",2017,한국동서발전,김용진
wind,64.8,"강원도  영월군  상동읍  내덕리 산112-1,  덕구리    산10-1번지 일원",2017,영월에 코에너지,김리하
wind,60.0,"경북  봉화군  석포면  석포리  산1-2,  승부리  산1-1,    울진군  금강송면  전곡리  산1",2017,유니슨,류지윤
bioenergy,100.0,충남  서산시  대산읍  독곶2로 50  일원,2017,씨지앤 대산전력,린지앤(중화인민공화국)
others,15.4,경북  안동시  풍천면  도양리 1424번지,2017,경북그 린에너지센터,박성만
bioenergy,29.9,경북  구미시  1공단로6길  54,2017,구미그 린에너지,김기환
others,9.9,경기도 연천군 전곡읍 양연로 490,2017,이엔테크 ,전영수 
solar,55.0,경북  봉화군  봉화읍  도촌리  산70-1외  30필지,2017,우리파워15호,이영경
solar,95.0,제주시  구좌읍  송당리  산78번지외  86필지,2017,제주에 너지개발,김형남
others,3.4,충북  청주시  청원군  북이면  신대석성로  253-4,2017,진주산업,남상부
wind,6.0,경남 양산시 원동면 대리 1039-3번지,2017,원프랜트,최명성
wind,45.0,경북  봉화군  소천면  고선리  산1,2017,우람에너지,홍종후
wind,21.6,전남  무안군  해제면  석룡리  산51-8번지  일원,2017,해제풍력,김영건
solar,98.0,"전남 영암군 영암읍 한대리, 태양광 금정면  연소리,  연보리  일원",2017,영암태양광발전,기찬수 
solar,18.3,"경남  양산시  상북면  내석리  산 193-3외 4필지(산193-3, 산213,  산231-1,  산234-1,   산235)",2017,아이블루솔라,김기홍
solar,65.0,"충남  서산시  부석면  창리  620, 621,마룡리  981번지",2017,현대건설,정수현
gas,40.0,경기도  김포시  향촌읍  학운리 3379(학운2일반산업단지),2017,GS에너지,하영봉
bioenergy,105.0,전남  여수시  월내동  1393,2017,한국동서발전,김용진
gas,30.8,서울시  강서구  마곡동  91번지 일원,2017,두산건설,이병화
wind,147.0,강원도  평창군  대관령면  유천리  산1번지  일원,2017,동진풍력발전,김재종
others,9.0,충남  홍성군  은하면  구항남길 286-48,2017,덕천에너지 ,유주호 
others,9.9,경남  창녕군  대합면  대곡리 299-6일원,2017,덕영에너지,제갈종식
wind,16.8,"경북  영덕군  영해면  괴시리  산66-1,  산67-1,  산66-5",2017,해파랑에너지,최성권
solar,60.0,"경북  봉화군  봉화읍  화천리  산1-1,  산1-11",2017,봉화화 천태양광발전소,이영경
hydro,8.4,"전남  여수시  중흥동 1731, 1740번지,전남  여수시  적량동 1337번지  등  3필지",2017,윈드로 즈이앤씨,김미중
gas,26.4,광주시  서구  치평동  662-1번지  일원,2017,두산건설,이병화
gas,39.6,인천시  동구  송림동  8-344  일원,2017,두산건설,이병화
wind,82.5,"경남  고성군  하일면  학림리  산113,  산94,  산116,  산117,  산161-1,  산166,  산169,    산170, 산173-1,  산187,  산188,  산189, 수양리  산56-1,  오방리  산3,  산9,  상리면  동산리  산90-1,  산133-2",2017,지에스 이피에스,허용수
wind,39.6,"강원도  삼척시  도계읍  상덕리 산1,  구사리  산51,  산26,  심포리  산113-1번지  일원",2017,코오롱글로벌,윤창운
wind,45.6,충북  단양군  영춘면  장발리  산134-1번지  일원,2017,청송에너지,서경순
wind,126.0,"강원도  양구군  해안면  만대리, 월산리,  이현리,  후리  일원,  인제군  서화면,  가전리,  심적리 일원",2017,글로벌 윈드에너지,최용선
wind,40.0,부산시  해운대구  중동  591-15번지  해상,2017,지윈드스카이,이용우
wind,30.0,강원도  정선군  임계면  임계리 산8번지  일원,2017,씨스포빌,박상무
wind,39.0,강원도  삼척시  가곡면  오목리 산21번지,2017,명성파워그린,박정학
wind,300.0,전남  신안군  자은도  서측  공유수면  해상,2017,포스코에너지 ,윤동준 
wind,96.0,전남  신안군  자은도  북동쪽  공유수면  해상,2017,SK  E&S,유정준
wind,42.0,"전남  곡성군  오곡면  침곡리  산39,  송정리  산96  일원",2017,대명에너지,서종현
wind,10.8,경북  청도군  금천면  소천리  산100-1  일원,2017,청도브리즈,박요셉
wind,72.0,경북  의성군  옥산면  감계리  산27번지(황학산)일원,2017,에스케 이디앤디,함 스 테판윤성
wind,19.2,부산시  강서구  대항동  산13-2번지  일대,2017,가덕대항주민바람,장기태
wind,84.0,"강원도  홍천군  내면  율전리  산188-2,  산182,  산  183,  산184, 산185번지",2017,홍천율전풍력발전,"구영임, 이정욱"
wind,39.0,"강원도  원주시  판부면  신촌리 산80,  금대리  산120번지",2017,명성파워그린,박정학
solar,30.0,"전남  무안군  운남면  연리 1126-10,  1126-77,성내리 560-12,  560-13",2017,무안햇빛발전소,윤찬국
solar,25.0,"전남  해남군  현산면  구시리  산 183-7번지,  산  183-17,  산183-18",2017,이촌태양광발전,이인규
wind,66.0,"강원도  평창군  대관령면  유천리  산143,  용산리  산174,  산142,  수하리  산1,  진부면  호명리  산41,    산77-1,  송정리  산77-2,  봉산리  산1번지",2017,태환윈드파워,이기경
wind,39.0,"전북  김제시  광활면  창제리(1478-11,  1480-16,  1483-27, 1479-5,  1481-11,    1485-10, 1276,  1297,  1207-11,  1131, 1281,  1194,  1207-3)",2017,창신풍력,윤선우
gas,100.0,강원도  동해시  구호동  223번지(북평국가산업단지  內),2017,한국동서발전,한국동서발전사장
bioenergy,5.0,전북  완주군  봉동읍  완주산단1로  229,2017,엔프로텍,고원영
bioenergy,5.5,경기도  연천군  청산면  초대로 246,2017,씨에스에너지,전원태
bioenergy,15.0,대구시  달서구  성서공단남로 129(월암동),2017,리클린대구,김종호
others,9.5,전남  무안군  청계면  송현리  산78-5,2017,ES무안,신경수
wind,92.4,"경북  경주시  감포읍  오류리  산 320번지  외  4필지(산  41,  산 52-1,  산  236-4,산  243-2)",2017,파인드그린,한태식
wind,42.0,"강원도  삼척시  하장면  어리  산63,  산65-2,  산105,  산104,  산122,  산122-3,  산93-1,    산94, 산65-3,  산85-1,  산104-4,  산36번지",2017,명진풍력발전,김재종
wind,38.0,강원도  평창군  진부면  상월오개리  산97-1일원,2017,동성,"김장수, 김흥식"
solar,9.5,전북  익산시  금마면  동고도리 산  34-3외  22개필지,2017,성원,김태중
solar,6.0,전남  신안군  안좌면  내호리  일원,2017,농업회사법인 스마트팜,김창휘
others,5.0,제주시  한경면  용수리  전역  3 km  해역,2017,선박해양플랜트연구소,서상현
others,19.8,서울시  강동구  고덕동  10-4 (고덕동),2017,에스케이건설,조기행
others,6.5,전북  군산시  내초동  201-7,2017,군산그린에너지센터,최환재
others,9.9,전남  영광군  홍농읍  성산리  산1번지,2017,영광열병합발전,김현남
wind,60.4,전라남도  순천시  승주읍  도정리  산55  번지  등,2017,바랑산풍력,윤선우
wind,19.2,강원도  태백시  창죽동  산1-172번지,2017,삼수풍력발전,미쯔오카히데노리
solar,98.0,"전남  해남군  산이면  상공리 1147,  1156번지,구성리  653, 651,  650번지  일원",2017,솔라시도태양광발전,이성오
wind,9.5,"경남  양산시  어곡동  산342-1, 산340,  산282,  산2-1번지",2017,아시아드티앤디,송영범
wind,19.2,부산시  강서구  동선동  산74-2번지  일원,2017,가덕풍력,황영식
wind,42.0,"강원도  삼척시  도계읍  상덕리 산1-2번지,  황조리  산159번지, 신리  산138번지  일원",2017,비에스에너지,신상일
solar,50.0,경북  의성군  점곡면  송내리  산 60-1외  2필지,2017,점곡태양광발전소,강형주
others,19.2,제주특별자치도  제주시  구좌읍 동복리  산56-34번지  일원,2017,제주특별자치도,원희룡
others,9.9,전북  새만금  농생명용지  5공구내(BL  173-2),2017,한국동서발전,사장
wind,45.0,전북  김제시  광활면  창제리 1381-12번지  등,2017,삼현풍력,윤선우
bioenergy,9.9,경북  영덕군  지품면  삼화리  산 바이오에 155,2018,영덕그린에너 지,이종은 
wind,60.0,"경북  포항시  남구  오천읍  진전리  산31,  산27,  산6-1,장기면 산서리  산335번지",2018,케이에스파워,김정희
solar,45.0,충남  태안군  이원명  포지리 1249번지  일원,2018,한국서부발전,정영철
